Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source
Belgium,Belwind phase 1,Production,2010,Parkwind NV,Fixed,55,V90-3.0 MW,,3,45,27,https://www.belgianoffshoreplatform.be/en/projects/belwind/
Belgium,Belwind phase 2 (Nobelwind) (Zone 1),Production,2017,Parkwind NV,Fixed,10,V112-3.3 MW ,,3.3,56,23,https://www.belgianoffshoreplatform.be/en/projects/nobelwind/
Belgium,Belwind phase 2 (Nobelwind) (Zone 2),Production,2017,Parkwind NV,Fixed,40,V112-3.3 MW ,,3.3,56,23,https://www.belgianoffshoreplatform.be/en/projects/nobelwind/
Belgium,C-Power (Zone A),Production,2013,C-Power,Fixed,24,Senvion 6.2M126,,6.15,63,31,https://www.belgianoffshoreplatform.be/en/projects/c-power/
Belgium,C-Power (Zone B),Production,2013,C-Power,Fixed,30,Senvion 6.2M127,,6.15,63,31,https://www.belgianoffshoreplatform.be/en/projects/c-power/
Belgium,Mermaid,Production,2020,Otary,Fixed,28,SG 8.0-167 DD,,8.4,83.5,24,https://www.otary.be/en/projects/seamade
Belgium,Norther,Production,2019,Belgian Elicio & Dutch Eneco,Fixed,44,V164-8.3 MW,,8.4,82,16,https://www.belgianoffshoreplatform.be/en/projects/norther/
Belgium,Northwester 2,Production,2020,Parkwind NV,Fixed,23,V164-9.5,,9.5,82,16,https://www.belgianoffshoreplatform.be/en/projects/northwester-2/
Belgium,Northwind,Production,2014,Parkwind NV,Fixed,72,MVOW V112 3.0,,3,56,15,https://www.belgianoffshoreplatform.be/en/projects/northwind/
Belgium,Princess Elisabeth Zone Lot 1,Planned,2029,,Fixed,47,,IEA-15MW-240-RWT,15,120,30,https://economie.fgov.be/en/themes/energy/belgian-offshore-wind-energy
Belgium,Princess Elisabeth Zone Lot 2.1,Planned,2030,,Fixed,94,,IEA-15MW-240-RWT,15,120,30,https://economie.fgov.be/en/themes/energy/belgian-offshore-wind-energy
Belgium,Princess Elisabeth Zone Lot 2.2,Planned,2030,,Fixed,47,,IEA-15MW-240-RWT,15,120,30,https://economie.fgov.be/en/themes/energy/belgian-offshore-wind-energy
Belgium,Princess Elisabeth Zone Lot 3,Planned,2030,,Fixed,47,,IEA-15MW-240-RWT,15,120,30,https://economie.fgov.be/en/themes/energy/belgian-offshore-wind-energy
Belgium,Rentel,Production,2018,Otary,Fixed,42,SWT-7.0-154,,7.35,77,27,https://www.belgianoffshoreplatform.be/en/projects/rentel/
Belgium,Seastar,Production,2020,Otary,Fixed,30,SG 8.0-167 DD,,8.4,83.5,24,https://www.otary.be/en/projects/seamade
Denmark,Frederikshavn,Production,2003,SE Blue Renewables,Fixed,4,,,3,45,,
Denmark,Frederikshavn Offshore Demo,Planned,2024,European Energy,Fixed,5,V236-15 MW,,15,115,,https://www.offshorewind.biz/2022/10/26/vestas-15-mw-wind-turbines-cleared-for-first-offshore-deployment/ 
Denmark,Horns Rev I,Production,2002,Ørsted A/S,Fixed,80,V80-2.0 MW,,2,39,,https://powerplants.vattenfall.com/horns-rev/
Denmark,Horns Rev II,Production,2009,Ørsted A/S,,91,SWT-2.3-93,,2.3,40,23,https://orsted.dk/vores-groenne-loesninger/havvind/vores-havvindmoelleparker
