"Colony","TDR_ID","Date","Behaviour","Hours","Expenditure"
"Whinnyfold","A16664",2019-07-16,"Active",9.65,696.097512335526
"Whinnyfold","A16664",2019-07-21,"Active",5.19,368.963046875
"Whinnyfold","A16664",2019-07-26,"Active",4.72333333333333,300.743489583333
"Whinnyfold","A16664",2019-07-31,"Active",4.76333333333333,293.875338541667
"Whinnyfold","A16664",2019-08-05,"Active",4.14,257.375390625
"Whinnyfold","A16664",2019-08-10,"Active",6.03333333333333,382.846150362319
"Whinnyfold","A16664",2019-08-15,"Active",10.15,650.049348958333
"Whinnyfold","A16664",2019-08-20,"Active",7.89333333333333,504.154210526316
"Whinnyfold","A16664",2019-08-25,"Active",5.50666666666667,341.26037037037
"Whinnyfold","A16664",2019-08-30,"Active",9.25333333333333,586.526388888889
"Whinnyfold","A16664",2019-09-04,"Active",12.02,801.834166666667
"Whinnyfold","A16664",2019-09-09,"Active",6.04666666666667,414.564085648148
"Whinnyfold","A16664",2019-09-14,"Active",7.31,513.18484375
"Whinnyfold","A16664",2019-09-19,"Active",9.11,647.588145833333
"Whinnyfold","A16664",2019-09-24,"Active",8.68,611.28125
"Whinnyfold","A16664",2019-09-29,"Active",15.2466666666667,1072.98416666667
"Whinnyfold","A16664",2019-10-04,"Active",9.11333333333333,636.025229166667
"Whinnyfold","A16664",2019-10-09,"Active",11.42,828.381223958333
"Whinnyfold","A16664",2019-10-14,"Active",9.09333333333333,666.946330532213
"Whinnyfold","A16664",2019-10-19,"Active",7.09,514.585422794118
"Whinnyfold","A16664",2019-10-24,"Active",10.0833333333333,740.627467105263
"Whinnyfold","A16664",2019-10-29,"Active",6.98333333333333,520.378359375
"Whinnyfold","A16664",2019-11-03,"Active",7.49,566.327827034884
"Whinnyfold","A16664",2019-11-08,"Active",7.15666666666667,554.777798913044
"Whinnyfold","A16664",2019-11-13,"Active",9.97333333333333,755.583888888889
"Whinnyfold","A16664",2019-11-18,"Active",9.66,818.589671052632
"Whinnyfold","A16664",2019-11-23,"Active",6.70333333333333,571.354427083333
"Whinnyfold","A16664",2019-11-28,"Active",8.59,734.866830357143
"Whinnyfold","A16664",2019-12-03,"Active",11.9033333333333,1010.19752741228
"Whinnyfold","A16664",2019-12-08,"Active",19.2433333333333,1705.13973958333
"Whinnyfold","A16664",2019-12-13,"Active",7.11333333333333,634.5315625
"Whinnyfold","A16664",2019-12-18,"Active",10.63,941.787741336634
"Whinnyfold","A16664",2019-12-23,"Active",8.48666666666667,700.521291666667
"Whinnyfold","A16664",2019-12-28,"Active",17.26,1534.7915625
"Whinnyfold","A16664",2020-01-02,"Active",17.2133333333333,1546.73668320106
"Whinnyfold","A16664",2020-01-12,"Active",16,1436.58823529412
"Whinnyfold","A16664",2020-01-17,"Active",6.93,625.865625
"Whinnyfold","A16664",2020-01-22,"Active",7.32666666666667,665.71925
"Whinnyfold","A16664",2020-01-27,"Active",12.7433333333333,1168.57285657051
"Whinnyfold","A16664",2020-02-01,"Active",15.9966666666667,1477.23384548611
"Whinnyfold","A16664",2020-02-06,"Active",6.39666666666667,600.664768518518
"Whinnyfold","A16664",2020-02-11,"Active",15.39,1424.20519396552
"Whinnyfold","A16664",2020-02-16,"Active",13.9466666666667,1308.15375
"Whinnyfold","A16664",2020-02-21,"Active",10.9766666666667,1030.67959821429
"Whinnyfold","A16666",2019-07-11,"Active",5.67,411.059592391304
"Whinnyfold","A16666",2019-07-16,"Active",6.75666666666667,477.549773284314
"Whinnyfold","A16666",2019-07-21,"Active",10.8166666666667,765.426132246377
"Whinnyfold","A16666",2019-07-26,"Active",6.96,480.012142857143
"Whinnyfold","A16666",2019-07-31,"Active",9.67666666666667,643.827024456522
"Whinnyfold","A16666",2019-08-05,"Active",10.6933333333333,769.901435185185
"Whinnyfold","A16666",2019-08-10,"Active",10.1866666666667,739.397380952381
"Whinnyfold","A16666",2019-08-15,"Active",13.1666666666667,991.636239035088
"Whinnyfold","A16666",2019-08-20,"Active",9.17333333333333,698.759555555556
"Whinnyfold","A16666",2019-08-25,"Active",7.75333333333333,557.8765625
"Whinnyfold","A16666",2019-08-30,"Active",9.91333333333333,748.732494462901
"Whinnyfold","A16666",2019-09-04,"Active",5.58333333333333,425.849959935897
"Whinnyfold","A16666",2019-09-09,"Active",5.64333333333333,427.77951754386
"Whinnyfold","A16666",2019-09-14,"Active",7.74333333333333,591.602227263856
"Whinnyfold","A16666",2019-09-19,"Active",6.22333333333333,476.392573029891
"Whinnyfold","A16666",2019-09-24,"Active",8.14333333333333,621.763292824074
"Whinnyfold","A16666",2019-09-29,"Active",6.67666666666667,515.073990036232
"Whinnyfold","A16666",2019-10-04,"Active",7.14333333333333,557.72381557938
